п/п;Наименование;Муниципальное образование, на территории которого располагается объект;Район;Адрес объекта;Контактный телефон
№;Name;Municipality;Area;Address;Phone
607;Муниципальное бюджетное образовательное учреждение Солодчинская средняя общеобразовательная школа Ольховского муниципального района Волгоградской области;Ольховский муниципальный район;Ольховский;403670, Волгоградская обл., Ольховский район, село Солодча, ул. Краснопартизанская, 9;8-844-56-5-32-79
608;Муниципальное казенное образовательное учреждение Ягодновская средняя общеобразовательная школа Ольховского муниципального района Волгоградской области;Ольховский муниципальный район;Ольховский;403670, Волгоградская обл., Ольховский район, село Ягодное, ул. Школьная, 3;8-844-56-5-72-42
609;Муниципальное казенное образовательное учреждение Романовская основная общеобразовательная школа Ольховского муниципального района Волгоградской области;Ольховский муниципальный район;Ольховский;403655, Волгоградская обл., Ольховский район, село Романовка, ул. Молодежная, 35;8-844-56-5-61-74
610;Муниципальное казённое образовательное учреждение средняя общеобразовательная школа № 2;Палласовский;Палласовка;Волгоградская обл.г.Палласовка,ул.Пугачева,29А;88449261474
611;Муниципальное казённое образовательное учреждение средняя общеобразовательная школа № 11;Палласовский;Палласовка;Волгоградская обл.г.Палласовка,ул.Мира,9;88449268376
612;Муниципальное казённое образовательное учреждение средняя общеобразовательная школа № 12;Палласовский;Палласовка;Волгоградская обл. г.Палласовка, ул Красноармейская,6;88449262435
613;"Муниципальное казенное образовательное учреждение ""Средняя общеобразовательная школа № 14""";Палласовский;Палласовка;Волгоградская обл. г.Палласовка, ул Новая,52;88449261546
614;"Муниципальное казенное образовательное учреждение ""Средняя общеобразовательная школа № 17""";Палласовский;Палласовка;Волгоградская область, г.Палласовка ул.Коммунистическая, 10;88449261596
615;Муниципальное казенное образовательное учреждение « Венгеловская основная общеобразовательная школа» ;Палласовский;п.Венгеловка;404255 Волгоградская обл..Палласовский р-он,п.Венгеловка, улВетеранов,1;88449256025
616;Муниципальное казенное образовательное учреждение «Вишневская общеобразовательная средняя школа» ;Палласовский;п.Вишневка;404250 Волгоградская обл.,Палласовский р-он.,п.Вишневка,ул.Комсомольская,10;88449253335
617;Муниципальное казённое образовательное учеждение «Золотарёвская средняя общеобразовательная школа имени Героя России Маденова Игоря»;Палласовский;с.Золотари;404241 Волгоградская обл.,Палласовский р-он,с.Золотари,ул.Комсомольская,14;88449252497
618;Муниципальное казенное образовательное учреждение «Кайсацкая средняя общеобразовательная школа» ;Палласовский;с.Кайсацкое;404240 Волгоградская обл.,Палласовский р-он.,с.Кайсацкое,ул.Ленина,б/н;88449251236
619;Муниципальное казенное образовательное учреждение «Комсомольская средняя общеобразовательная школа» ;Палласовский;п.Комсомольский;Волгоградская обл.,Палласовский р-он,п.Комсомольский,ул.Комсомольская,22;88449254551
620;Муниципальное казённое образовательное  учреждение «Краснооктябрьская средняя общеобразовательная школа» ;Палласовский;п.Красный Октябрь;Волгоградская обл.,Палласовский р-он,п.Красный Октябрь,ул.Школьная,1;88449266134
621;Муниципальное казенное образовательное учреждение «Лиманная основная общеобразовательная школа» ;Палласовский;п.Лиманный;Волгоградская обл.,Палласовский р-он,п.Лиманный,ул.Молодежная,15;88449257689
622;Муниципальное казенное образовательное учреждение «Новостроевская средняя общеобразовательная школа» ;Палласовский;п.Новостройка;Волгоградская обл.,Палласовский р-он,п.Новостройка,ул.Буденного,4а;88449259586
623;Муниципальное казенное образовательное учреждение «Новоиванцовская  основная общеобразовательная школа» ;Палласовский;с.Новая Иванцовка;Волгоградская обл.,Палласовский р-он,с.Новая Иванцовка,ул.Школьная,8;88449261624
624;Муниципальное казенное образовательное учреждение «Прудентовская средняя общеобразовательная школа» ;Палласовский;х.Прудентов;Волгоградская обл.,Палласовский р-он,х.Прудентов,ул.Прудентовская,1;88449252768
625;Муниципальное казенное образовательное учреждение «Путьильичевская средняя общеобразовательная школа» ;Палласовский;п.Путь Ильича;Волгоградская обл.,Палласовский р-он,п.Путь Ильича,ул.Центральная,2;88449253461
626;Муниципальное казённое образовательное учреждение «Ромашковская средняя общеобразовательная школа» ;Палласовский;п.Ромашки;Волгоградская обл.,Палласовский р-он,п.Ромашки,ул.Уриха,55;88449259219
627;"Муниципальное казённое образовательное учреждение ""Савинская средняя общеобразовательная школа""";Палласовский;с.Савинка;Волгоградская обл.,Палласовский р-он,с.Савинка,ул.Иванчука,65;88449257844
628;"Муниципальное казенное образовательное учреждение ""Староиванцовская общеобразовательная школа""";Палласовский;с.Старая Иванцовка;Волгоградская обл.,Палласовский р-он,с.Старая Иванцовка,ул.Школьная,4;88449268318
629;"Муниципальное казенное образовательное учреждение ""Симкинская общеобразовательная школа""";Палласовский;х.Большой Симкин;Волгоградская обл.,Палласовский р-он,х.Большой Симкин,ул.Школьная,5;88449256682
630;"Муниципальное казенное образовательное учреждение ""Эльтонская средняя общеобразовательная школа""";Палласовский;п.Эльтон;Волгоградская обл.,Палласовский р-он,п.Эльтон,ул.Калинина,5;88449256873
631;Ершовская муниципальная казенная начальная общеобразовательная школа;Палласовский;х.Ерши;Волгоградская обл.,палласовский р-он,х.Ерши,ул.Школьная,1;89610650589
632;Смычкинская муниципальная казенная начальная общеобразовательная школа;Палласовский;х.Смычка;Волгоградская обл.,Палласовский р-он,х.Смычка,ул.Береговая,26;89044236507
633;Муниципальная казенная начальная общеобразовательная школа поселка Кумысолечебница;Палласовский;п.Кымысолечебница;Волгоградская обл.,Палласовский р-он,п.Кумысолечебница,ул.Санаторная,8а;88449258143
634;Куликовская муниципальная казенная начальная общеобразовательная школа;Палласовский;п.Куликов;Волгоградская обл.,Палласовский р-он,п.Куликов,ул.Школьная,10а;88449257931
635;Калашниковская муниципальная казенная начальная общеобразовательная школа;Палласовский;х.Калашников;Волгоградская обл.,палласовский р-он,х.Калашников,ул.Коммунаров,2а;89377369768
636;Старобалковская муниципальная казенная начальная общеобразовательная школа;Палласовский;х.Старая Балка;Волгоградская обл.,Палласовский р-он,х.Старая Балка,ул.Школьная,6;89275215035
637;Жолобовская муниципальная казенная начальная общеобразовательная школа;Палласовский;х.Жолобов;Волгоградская обл.,Палласовский р-он,х.Жолобов,ул.Школьная,9;89375387882
638;Серогодская муниципальная казенная начальная общеобразовательная школа;Палласовский;п.Серогодский;Волгоградская обл.,Палласовский р-он,п.Серогодский,ул.Карпенко,15;89375446122
639;Муниципальная казенная начальная общеобразовательная школа № 1;Палласовский;г.Палласовка;Волгоградская обл.,г.Палласовка,ул.Ушакова,2;88449262649
640;Сапунковская муниципальная казенная начальная общеобразовательная школа;Палласовский;х.Сапунков;Волгоградская обл.,Палласовский р-он,х.Сапунков,ул.Юбилейная,3;
641;Худушинская муниципальная казенная начальная общеобразовательная школа;Палласовский;х.Худушный;Волгоградская обл.,Палласовский р-он,х.Худушный,ул.Лиманная,1;
642;Приозерная муниципальная казенная начальная общеобразовательная школа;Палласовский;п.Приозерный;Волгоградская обл.,Палласовский р-он,п.Приозерный,ул.Центральная,14;
643;Муниципальное бюджетное образовательное учреждение Большесудаченская средняя общеобразовательная школа Руднянского муниципального района Волгоградской области;Большесудаченское сельское поселение;Руднянский муниципальный район;403618            Волгоградская область,                 Руднянский район,            с. Большое Судачье, ул. Школьная, 15   ;8(84453) 7-54-22
644;Муниципальное бюджетное образовательное учреждение Ильменская средняя общеобразовательная школа Руднянского муниципального района Волгоградской области;Ильменское сельское поселение;Руднянский муниципальный район;403626             Волгоградская область, Руднянский район,           с. Ильмень, ул. Мира, 3 ;8 (84453) 7-42-34
645;Муниципальное бюджетное образовательное учреждение Лемешкинская средняя общеобразовательная школа Руднянского муниципального района Волгоградской области;Лемешкинское сельское поселение;Руднянский муниципальный район;403623 Волгоградская область, Руднянский район, с. Лемешкино, ул. Кирова, 99          ;8(84453) 7-81-10
646;Муниципальное бюджетное образовательное учреждение Лопуховская средняя общеобразовательная школа Руднянского муниципального района Волгоградской области;Лопуховское сельское поселение;Руднянский муниципальный район;403615 Волгоградская область, Руднянский район, с. Лопуховка, ул. Молодёжная, 35 ;8(84453) 7-62-17
647;Муниципальное бюджетное образовательное учреждение Матышевская средняя общеобразовательная школа Руднянского муниципального района Волгоградской области;Матышевское сельское поселение;Руднянский муниципальный район;403617 Волгоградская область, Руднянский район, с. Матышево, ул. Московская, 59 ;8(84453) 7-72-91
648;Муниципальное бюджетное образовательное учреждение Осичковская средняя общеобразовательная школа им. Героя Социалистического Труда С.А. Калюжного Руднянского муниципального района Волгоградской области;Осичковское сельское поселение;Руднянский муниципальный район;403622 Волгоградская область, Руднянский район, с. Осички, ул. Мирная, 25                 ;8(84453) 7-43-45
649;Муниципальное бюджетное образовательное учреждение Руднянская средняя общеобразовательная школа им. А.С. Пушкина Руднянского муниципального района Волгоградской области;Руднянское городское поселение;Руднянский муниципальный район;403601 Волгоградская область, рп Рудня, ул. Советская,  7                           ;8(84453) 7-10-53
650;Муниципальное бюджетное образовательное учреждение Сосновская средняя общеобразовательная школа Руднянского муниципального района Волгоградской области;Сосновское сельское поселение;Руднянский муниципальный район;403619 Волгоградская область, Руднянский район, с. Сосновка, ул. Пионерская, 8  ;8(84453) 7-55-18
651;Муниципальное бюджетное образовательное учреждение Щелканская  средняя общеобразовательная школа Руднянского муниципального района Волгоградской области;Руднянское городское поселение;Руднянский муниципальный район;403602 Волгоградская область, рп Рудня, ул. Строителей, 2             ;8(84453) 7-12-82
652;Муниципальное казённое образовательное учреждение Громковская основная общеобразовательная школа Руднянского муниципального района Волгоградской области;Громковское сельское поселение;Руднянский муниципальный район;403616 Волгоградская область, Руднянский район. С. Громки, ул. Молодёжная. 2;8(84453) 7-45-68
653;Муниципальное казённое образовательное учреждение Козловская основная общеобразовательная школа Руднянского муниципального района Волгоградской области;Козловское сельское поселение;Руднянский муниципальный район;403624 Волгоградская область, Руднянский район, с. Козловка, ул. Майская, 41;8(84453) 7-34-35
654;Муниципальное  бюджетное образовательное учреждение Подкуйковская  основная общеобразовательная школа Руднянского муниципального района Волгоградской области;Осичковское сельское поселение;Руднянский муниципальный район;403621 Волгоградская область, Руднянский район, с. Подкуйково, ул. Красная, 100;8(84453) 7-71-18
655;МКОУ Светлоярская СОШ №1;Светлоярское городское поселение;Светлоярский;404171, р.п.Светлый Яр, ул. Сидорова,3;8(84477)6-10-36
656;МКОУ Светлоярская СОШ №2 им. Ф.Ф.Плужникова;Светлоярское городское поселение;Светлоярский;404171, р.п.Светлый Яр, МКР1, д.23а;8(84477)6-16-69
657;МКОУ Большечапурниковская СОШ;Большечапурниковское сельское поселение;Светлоярский;404174, с.Большие Чапурники ул. Уткина 55а;8(84477)6-82-82
658;МКОУ Дубовоовражская СОШ;Дубовоовражское сельское поселение;Светлоярский;404175, с.Дубовый Овраг,пл.Хвастанцева,6а;8(84477)6-77-17
659;МКОУ Ивановская СОШ;Кировское сельское поселение;Светлоярский;404187, с.Ивановка,ул.Советская,7;8(84477)6-45-28
660;МКОУ Кировская СОШ им. А.Москвичева;Кировское сельское поселение;Светлоярский;404180,п.Кирова, ул.Школьная,2;8(84477)6-43-52
661;МКОУ Наримановская СОШ;Наримановское сельское поселение;Светлоярский;404179, п.Нариман,ул.Дружбы,6;8(84477)6-61-44
662;МКОУ Приволжская СОШ;Приволжское сельское поселение;Светлоярский;404196, п.Приволжский,ул.Школьная,1;8(84477)6-71-69
663;МКОУ Привольненская СОШ им.М.С.Шумилова;Привольненское сельское поселение;Светлоярский;404191, п.Привольный,ул.Азарова,27;
664;МКОУ Райгородская СОШ;Райгородское сельское поселение;Светлоярский;404173, с.Райгород,пос.Водстрой,1;8(84477)6-51-30
665;МКОУ Цацинская СОШ;Цацинское сельское поселение;Светлоярский;404177,с.Цаца,ул.18 ГМП,29;8(84477)6-73-24
666;МКОУ Червленовская СОШ;Червленовское сельское поселение;Светлоярский;404186, с.Червленое, ул.Ленина,12а;8(84477)6-55-10
667;МКОУ Северная ООШ;Наримановское сельское поселение;Светлоярский;404184, п.Северный, ул.Школьная;8(84477) 6-66-01
668;МКОУ Луговая ООШ;Приволжское сельское поселение;Светлоярский;404176, п.Луговой, ул.Красных зорь, 25;8(84477) 6-75-46
669;МКОУ Прудовая ООШ;Наримановское сельское поселение;Светлоярский;404185, п.Прудовый, ул.Набережная,35;8(84477) 6-56-33
670;МКОУ Чапурниковская НОШ;Кировское сельское поселение;Светлоярский;404181, ст. Чапурники, микрорайон, д.7;8(84477)6-57-90
671;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов №1 г.Серафимовича Волгоградской области ;Серафимовичский муниципальный район;Серафимовичский ;403441, г.Серафимович , ул. Пролетарская, 7 ;4-34-01 
672;Муниципальное казенное образовательное учреждение   средняя общеобразовательная школа №2 г.Серафимовича, Волгоградской области ;Серафимовичский муниципальный район;Серафимовичский ;403441, г.Серафимович , ул.Советская, 4 ;4-13-05
673;Муниципальное казенное образовательное учреждение Бобровская-2 средняя общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403446, х. Бобровский-2, Серафимовичский район ;4-19-24
674;Муниципальное казенное образовательное учреждение Большовская средняя общеобразовательная школа Серафимовичского района Волгоградской области ;Серафимовичский муниципальный район;Серафимовичский ;403476 ,х. Большой, Серафимовичский район ;3-54-75
675;Муниципальное казенное образовательное учреждение Буерак-Поповская средняя общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403470, х. Буерак-Поповский, Серафимовичский район ;3-51-30
676;Муниципальное казенное образовательное учреждение Горбатовская средняя общеобразовательная школа Серафимовичского района Волгоградской области ;Серафимовичский муниципальный район;Серафимовичский ;403475, х. Горбатовский, Серафимовичский район;3-67-75
677;Муниципальное казенное образовательное учреждение Отрожкинская средняя общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403453, х. Отрожки, Серафимовичский район;3-84-47
678;Муниципальное казенное образовательное учреждение Зимняцкая средняя общеобразовательная школа Серафимовичского района Волгоградская область;Серафимовичский муниципальный район;Серафимовичский ;403483, х. Зимняцкий, Серафимовичский район;3-36-44
679;Муниципальное бюджетное образовательное учреждение Клетско-Почтовская средняя общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403452, х. Клетско-Почтовский, Серафимовичский район;3-94-24
680;Муниципальное казенное образовательное учреждение Крутовская основная общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403474, х. Крутовский, Серафимовичский район;3-41-90
681;Муниципальное казенное образовательное учреждение Песчановская средняя общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403463, х. Песчаный, Серафимовичский район;3-64-44
682;Муниципальное казенное образовательное учреждение Пронинская средняя общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403464, х. Пронин, Серафимовичский район;3-74-42
683;Муниципальное казенное образовательное учреждение Среднецарицынская средняя общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403461, х. Среднецарицынский, Серафимовичский район;3-71-21
684;Муниципальное казенное образовательное учреждение Трясиновская средняя общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403445, х. Трясиновский, Серафимовичский район;3-91-19
685;Муниципальное казенное образовательное учреждение Теркинская средняя общеобразовательная школа Серафимовичского района Волгоградской области;Серафимовичский муниципальный район;Серафимовичский ;403448, х. Теркин, Серафимовичский район;3-62-25
686; Муниципальное казенное образовательное учреждение Усть-Хоперская средняя общеобразовательная школа Серафимовичского района Волгоградской области.;Серафимовичский муниципальный район;Серафимовичский ;403472, ст. Усть-Хоперская, Серафимовичский район;3-44-86
687;муниципальное  бюджетное образовательное учреждение «Среднеахтубинская средняя общеобразовательная школа №1»;городское поселение р.п.Средняя Ахтуба;среднеахтубинский;404143, Волгоградская область, Среднеахтубинский район, р.п. Средняя Ахтуба, микрорайон 1;5-15-78
688;муниципальное  казенное образовательное учреждение «Среднеахтубинская средняя общеобразовательная школа №3 имени М.Горького»;городское поселение р.п.Средняя Ахтуба;среднеахтубинский;404143, Средняя Ахтуба, ул. Садовая 22, ;5-41-64
689;муниципальное  бюджетное образовательное учреждение «Краснослободская городская гимназия»;городское поселение г.Краснослободск;среднеахтубинский;404160, Волгоградская область, Среднеахтубинский район, город Краснослободск, улица Ленина, 1;
690;муниципального казенное образовательного учреждения «Краснослободская средняя общеобразовательная школа №2»;городское поселение г.Краснослободск;среднеахтубинский;404160, Волгоградская область, Среднеахтубинский район, город Краснослободск, улица Космонавтов, №16;
691;муниципальное  казенное образовательное учреждение «Краснослободская средняя общеобразовательная школа №3»;городское поселение г.Краснослободск;среднеахтубинский;404162, Волгоградская область, Среднеахтубинский район, г.Краснослободск, ул. Горького, 1а;6-16-68
692;муниципальное бюджетное  общеобразовательное учреждение «Краснослободская средняя общеобразовательная школа №4»;городское поселение г.Краснослободск;среднеахтубинский;404161, Волгоградская область, Среднеахтубинский район, г. Краснослободск, ул. Ленина, 164;
693;муниципальное  казенное общеобразовательное учреждение «Куйбышевская средняя общеобразовательная школа»;куйбышевское сельское поселение;среднеахтубинский;404146, п.Куйбышев, Среднеахтубинского района, ул.Турусова, 26А;7-51-59 
694;муниципальное  казенное образовательное учреждение «Красносадская средняя общеобразовательная школа»;красное сельское поселение;среднеахтубинский;404148, Волгоградская область, Среднеахтубинский район,      х. Красный Сад, улица Школьная, 23;7-49-58
695;муниципальное  казенное образовательное учреждение «Лебяжьеполянская средняя общеобразовательная школа»;кировское сельское поселение;среднеахтубинский;404150, Волгоградская область, Среднеахтубинский район, х.Лебяжья Поляна, ул.Тополевая, 4 ;7-95-18
696;муниципальное  казенное образовательное учреждение «Бурковская средняя общеобразовательная школа»;фрунзенское сельско поселение;среднеахтубинский;404151, Волгоградская область, Среднеахтубинский район, х.Бурковский, ул.Школьная, 6;5-53-68
697;муниципальное  казенное образовательное учреждение «Верхнепогроменская средняя общеобразовательная школа»;верхнепогроменское сельское поселение;среднеахтубинский;404167, Волгоградская область, Среднеахтубинский район, с.Верхнепогромное, ул.Центральная, дом 53;7-64-40
698;муниципальное  казенное образовательное учреждение «Рассветинская средняя общеобразовательная школа»;клетское сельско поселение;среднеахтубинский;404156, Волгоградская область, Среднеахтубинский район, хутор Клетский, улица Школьная, 3;7-43-30
699;муниципальное  казенное образовательное учреждение «Суходольская средняя общеобразовательная школа»;суходольское сельское поселение;среднеахтубинский;404147 Россия, Волгоградская область, Среднеахтубинский район, х. Суходол, переулок Шумроватый, 5 ;7-62-17
700;муниципальное  казенное образовательное учреждение «Рахинская средняя общеобразовательная школа»;рахинское сельское поселение;среднеахтубинский;404145, Волгоградская область, Среднеахтубинский район, с. Рахинка, ул.Степная, 71а ;7-35-76
701;муниципальное  казенное образовательное учреждение «Краснооктябрьская средняя общеобразовательная школа»;краснооктябрьское сельское поселение;среднеахтубинский;404149, Волгоградская область, Среднеахтубинский район, п.Красный Октябрь, ул.Молодежная, 17 ;7-31-35
702;муниципальное  казенное образовательное учреждение «Октябрьская основная общеобразовательная  школа»;куйбышевское сельское поселение;среднеахтубинский;404158, Волгоградская область, Среднеахтубинский район, поселок Великий Октябрь, улица Школьная  24;5-52-39
703;муниципальное казенное образовательное учреждение «Лиманная основная общеобразовательная школа»;верхнепогроменское сельское поселение;среднеахтубинский;404143, Волгоградская область, Среднеахтубинский район, п.Звездный, ул.Школьная, 1;5-25-45
704;муниципальное  казённое образовательное учреждение «Новоахтубинская основная общеобразовательная  школа»;клетское сельско поселение;среднеахтубинский;404154, Волгоградская область, Среднеахтубинский район, х. Ямы, переулок Базовский , д. 4 ;7-55-35
705;муниципальное  казенное  образовательное учреждение «Начальная школа-детский сад» р.п.Средняя Ахтуба;городское поселение р.п.Средняя Ахтуба;среднеахтубинский;404143, Волгоградская область, Среднеахтубинский район,  р.п.Средняя Ахтуба, микрорайон, 76;5-18-38
706;муниципальное  казенное образовательное учреждение «Начальная школа-детский сад» п.Колхозная Ахтуба;Ахтубинское сельское поселение;среднеахтубинский;404143, Волгоградская область, Среднеахтубинский район, п.Колхозная Ахтуба, ул.Центральная, 35а;7-65-87
707;муниципальное казенное образовательное учреждение «Краснослободская начальная школа-детский сад №1»;городское поселение г.Краснослободск;среднеахтубинский;404160, Волгоградская область, Среднеахтубинский район, г.Краснослободск,  микрорайон Опытная станция ВИР, 10а;6-14-47
708;муниципальное казенное образовательное учреждение «Репинская начальная школа-детский сад»;клетское сельско поселение;среднеахтубинский;404156, Волгоградская область, Среднеахтубинский район, х.Репино, ул.Новостройка, 21;5-52-37
709;муниципальное казенное образовательное учреждение «Фрунзенская начальная школа-детский сад»;фрунзенское сельско поселение;среднеахтубинский;404152, Волгоградская область, Среднеахтубинский район,  х.Закутский, ул.Мичурина, 3;7-55-37
710;МКОУ «Беляевская СОШ»;Старополтавский муниципальный район;Старополтавский район;404217, Волгоградская обл.. Старополтавский р-н,  с Беляевка, ул. Школьная, 5 «а»;88449347334
711;МКОУ «Валуевская СОШ»;Старополтавский муниципальный район;Старополтавский район;404218, Волгоградская обл.. Старополтавский р-н,  с Валуевка, ул. Центральная 45, ;88449347731
712;МКОУ «Вербенская ООШ»;Старополтавский муниципальный район;Старополтавский район;404200, Волгоградская обл., Старополтавский р-н, с. Вербное, ул. Пионерская, 4, ;88449348116
713;МКОУ «Верхневодянская СОШ»;Старополтавский муниципальный район;Старополтавский район;404201, Волгоградская обл., Старополтавский р-н, с. Верхняя Водянка, ул. Школьная, 3, ;88449346533
714;МКОУ «Верхнеерусланская ООШ»;Старополтавский муниципальный район;Старополтавский район;404207, Волгоградская обл., Старополтавский р-н, с. Верхний Еруслан, ул. Школьная, 9/3, ;88449344063
715;МБОУ «Гмелинская СОШ» им. В.П. Агаркова ;Старополтавский муниципальный район;Старополтавский район;404200, Волгоградская обл.. Старополтавский р-н, с. Гмелинка, ул. Новостройка, 35,;88449348246
716;МБОУ «Иловатская СОШ»;Старополтавский муниципальный район;Старополтавский район;404220, Волгоградская обл., Старополтавский р-н, с. Иловатка, ул. Школьная, 34, ;88449341161
717;МКОУ «Калининская ООШ»;Старополтавский муниципальный район;Старополтавский район;404216, Волгоградская обл., Старополтавский р-н, с. Калинино, ул. Школьная. 31. тел.;88449345124
718;МКОУ «Кановская СОШ»;Старополтавский муниципальный район;Старополтавский район;404205, Волгоградская обл., Старополтавский р-н, с. Кано, ул. Мира, 18, ;88449345921
719;МКОУ «Красноярская СОШ»;Старополтавский муниципальный район;Старополтавский район;404222, Волгоградская обл., Старополтавский р-н, с. Красный Яр, ул. Первомайская, 1;88449349210
720;МКОУ «Колышкинская СОШ»;Старополтавский муниципальный район;Старополтавский район;404224, Волгоградская обл., Старополтавский р-н с. Колышкино. пер. Школьный, 3, тел.: ;88449349960
721;МКОУ «Курнаевская СОШ»;Старополтавский муниципальный район;Старополтавский район;"404225, Волгоградская обл., Старополтавский р-н с. Курнаевка, ул. Школьная, 42 ""а"", ";88449347053
