п/п;Наименование;Муниципальное образование, на территории которого располагается объект;Район;Адрес объекта;Контактный телефон
№;Name;Municipality;Area;Address;Phone
427;"Муниципальное казенное образовательное учреждение ""Семеновская основная общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403231, Волгоградская обл., Киквидзенский р-н, с.Семеновка, ул.Синельникова, 32;(84445)39-6-46
428;Муниципальное бюджетное образовательное учреждение «Клетская средняя общеобразовательная школа» Клетского муниципального района Волгоградской области;Клетское сельское поселение;Клетский;"403562,Волгоградская область,Клетский район,станица
Клетская,
улица Ленина,дом
32 «а»";8(84466) 4-15-00
429;Муниципальное казенное образовательное учреждение «Перекопская средняя общеобразовательная школа» Клетского муниципального района Волгоградской области;Перекопское сельское поселение;Клетский;"403572,Волгоградская область,Клетский район,хутор
 Перекопка
улица Центральная,31";8(84466) 4-61-38
430;Муниципальное казенное образовательное учреждение «Кременская  средняя общеобразовательная школа» Клетского муниципального района Волгоградской области;Кременское сельское поселение;Клетский;"403574,Волгорадская область,Клетский район,станица
 Кременская,
ул. Газовиков,дом 23";8(84466) 4-66-87
431;Муниципальное казенное образовательное учреждение «Манойлинская средняя общеобразовательная школа» Клетского муниципального района Волгоградской области;Монойлинское сельское поселение;Клетский;"403583,Волгоградская область,Клетский район,
х. Манойлин,
ул. Школьная д.12 ";8(84466) 4-55-72
432;Муниципальное казенное образовательное учреждение «Верхнебузиновская средняя общеобразовательная школа» Клетского муниципального района Волгоградской области ;Верхнебузиновское сельское поселение;Клетский;"403581Волгоградская область,Клетский район,хутор
 Верхняя
Бузиновка,
микрорайон
Скопной, 19";8(84466) 4-51-92
433;Муниципальное казённое образовательное учреждение «Перелазовская средняя общеобразовательная школа» Клетского муниципального района Волгоградской области;Перелазовское сельское поселение;Клетский;"403587 Волгоградская область,Клетский район,хутор
 Перелазовский
улица Центральная, 1";8(84466) 4-32-69
434;Муниципальное казённое образовательное учреждение «Калмыковская средняя общеобразовательная школа» Клетского муниципального района Волгоградской области;Калмыковское сельское поселение;Клетский;"03584
х. Калмыковский
Клетского района
Волгоградской области
ул. Школьная дом 19";8(84466) 4-53-32
435;Муниципальное казенное образовательное учреждение «Верхнечеренская средняя общеобразовательная школа» Клетского муниципального района Волгоградской области;Верхнечеренское сельское поселение;Клетский;"403552
х. Верхнечеренский
Клетского района
Волгоградской области
ул. Центральная д.69";8(84466) 4-43-32
436;Муниципальное казенное образовательное учреждение «Распопинская средняя общеобразовательная школа» Клетского муниципального района Волгоградской области;Распопинское сельское поселение;Клетский;"403576, 
Волгоградская область,
Клетский район,
станица Распопинская,
переулок Б.Г. Ермака, 4"; 8(84466)4-65-30
437;Муниципальное казенное образовательное учреждение «Захаровская средняя общеобразовательная школа» Клетского муниципального района Волгоградской области;Захаровское сельское поселение;Клетский;"403550 Россия,Волгоградская область,Клетский район,хутор
Захаров
переулок Садовый,дом 2.";8(84466)4-41-24
438;Муниципальное казенное образовательное учреждение средняя общеобразовательная школа № 1 г. Котельниково Волгоградской области;Котельниковское городское поселение;Котельниковский муниципальный район;404352, Волгоградская область, г. Котельниково, ул. Горького, 37;(84476)3-15-17
439;Муниципальное казенное образовательное учреждение средняя общеобразовательная школа № 2 г. Котельниково Волгоградской области;Котельниковское городское поселение;Котельниковский муниципальный район;404353, Волгоградская область, г. Котельниково, ул. Набережная, 14;(84476)3-38-39
440;Муниципальное казенное образовательное учреждение средняя общеобразовательная школа № 3 г. Котельниково Волгоградской области;Котельниковское городское поселение;Котельниковский муниципальный район;404352, Волгоградская область, г. Котельниково, ул. Липова, 13;(84476)3-23-07
441;Муниципальное казенное образовательное учреждение средняя общеобразовательная школа № 4 г. Котельниково Волгоградской области;Котельниковское городское поселение;Котельниковский муниципальный район;404354, Волгоградская область, г. Котельниково, ул. Ленина, 30;(84476)3-20-12
442;Муниципальное казенное образовательное учреждение средняя общеобразовательная школа № 5 г. Котельниково Волгоградской области;Котельниковское городское поселение;Котельниковский муниципальный район;404352, Волгоградская область, г. Котельниково, ул. Липова, 17;(84476)3-16-34
443;Муниципальное казенное образовательное учреждение Генераловская средняя общеобразовательная школа Котельниковского муниципального района Волгоградской области;Генераловское сельское поселение;Котельниковский муниципальный район;404372, Волгоградская область, Котельниковский район, х. Генераловский, ул. Октябрьская, 27;(84476)7-45-62
444;Муниципальное казенное образовательное учреждение Красноярская средняя общеобразовательная школа Котельниковского муниципального района Волгоградской области;Красноярское сельское поселение;Котельниковский муниципальный район;404371, Волгоградская область, Котельниковский район, х. Красноярский, ул. Приморская, 16;(84476)7-12-53
445;Муниципальное казенное образовательное учреждение Пимено-Чернянская средняя общеобразовательная школа Котельниковского муниципального района Волгоградской области;Пимено-Чернянское сельское поселение;Котельниковский муниципальный район;404365, Волгоградская область, Котельниковский район, х. Пимено-Черни, ул. Центральная, 2;(84476)7-23-18
